Tanggal,Total terindeks,Dicekal oleh robot,Dihapus
16/05/01,0,0,0
16/05/08,0,0,0
16/05/15,0,0,0
16/05/22,0,0,0
16/05/29,0,0,0
16/06/05,0,0,0
16/06/12,0,0,0
16/06/19,0,0,0
16/06/26,0,0,0
16/07/03,0,0,0
16/07/10,0,0,0
16/07/17,0,0,0
16/07/24,0,0,0
16/07/31,0,0,0
16/08/07,0,0,0
16/08/14,0,0,0
16/08/21,0,0,0
16/08/28,0,0,0
16/09/04,0,0,0
16/09/11,0,0,0
16/09/18,0,0,0
16/09/25,0,0,0
16/10/02,0,0,0
16/10/09,0,0,0
16/10/16,0,0,0
16/10/23,0,0,0
16/10/30,0,0,0
16/11/06,0,0,0
16/11/12,0,0,0
16/11/19,0,0,0
16/11/26,16,0,0
16/12/03,16,0,0
16/12/10,13,0,8
16/12/17,12,0,7
16/12/24,11,0,5
16/12/31,11,0,4
17/01/07,12,0,4
17/01/14,12,0,4
17/01/21,12,0,4
17/01/28,12,0,4
17/02/04,12,0,4
17/02/11,12,0,4
17/02/18,12,0,4
17/02/25,12,0,4
17/03/04,12,0,4
17/03/11,11,0,4
17/03/19,11,0,3
17/03/26,11,0,3
17/04/02,11,0,3
17/04/09,14,0,3
17/04/16,14,0,3
17/04/23,14,0,3
